TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-08-02,23.0,32.8,26.2,80,5.396774,7.8,3,150,2,45.0,0,1,0,0,0,0,0
2025-08-03,23.0,33.0,26.3,81,5.396774,6.7,4,155,2,60.0,0,0,0,0,1,0,0
2025-08-04,23.2,33.0,26.6,78,1.6,8.0,4,152,2,48.0,0,0,0,0,1,0,0
2025-08-05,23.2,33.2,26.0,77,5.396774,8.0,3,143,2,63.0,0,0,0,0,1,0,0
2025-08-06,21.2,31.9,24.9,77,5.396774,8.0,4,151,2,44.0,0,0,0,0,1,0,0
2025-08-07,21.2,32.4,25.3,78,5.396774,8.0,3,119,2,14.0,0,0,0,0,1,0,0
2025-08-08,22.2,32.0,26.5,77,5.396774,8.0,3,152,1,29.0,0,0,0,0,1,0,0
2025-08-09,22.4,33.0,26.4,78,5.396774,7.4,3,169,2,30.0,0,0,0,0,1,0,0
2025-08-10,23.6,30.8,26.1,80,5.396774,7.6,4,157,2,36.0,0,0,0,0,1,0,0
2025-08-11,21.9,31.4,25.3,80,5.396774,6.1,3,124,2,29.0,0,0,0,0,1,0,0
2025-08-12,21.8,31.2,25.2,81,5.396774,6.4,4,152,3,62.0,0,0,0,0,1,0,0
2025-08-13,21.4,31.8,25.7,75,5.396774,8.0,3,151,2,29.0,0,0,0,0,1,0,0
2025-08-14,20.7,30.0,24.5,70,5.396774,7.3,6,164,3,31.0,0,0,0,0,1,0,0
2025-08-15,21.0,30.2,24.5,75,5.396774,8.0,4,152,2,46.0,0,0,0,0,1,0,0
2025-08-16,21.6,30.8,25.0,78,5.396774,7.9,4,105,2,54.0,0,0,0,0,1,0,0
2025-08-17,21.4,31.8,25.2,78,5.396774,7.9,3,168,2,47.0,0,0,0,0,1,0,0
